"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Refaie A.K.; Abdelaziz M.","Refaie, Amr Khaled (59729772600); Abdelaziz, Mostafa (57222182548)","59729772600; 57222182548","Non-Invasive Glucose Monitoring Using PPG, AI, and IoT-Driven Mobile Integration for Real-Time Diabetes Management","2024","2024 International Conference on Computer and Applications, ICCA 2024","","","","","","","0","10.1109/ICCA62237.2024.10927774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002258381&doi=10.1109%2fICCA62237.2024.10927774&partnerID=40&md5=d0dbc4fadf5fc97cb62b0321c2eababe","Diabetes mellitus patients must regularly monitor their blood glucose levels to manage glycaemia, typically requiring capillary tests at least three times daily and laboratory tests one to two times per month. These conventional methods involve finger pricking, causing significant discomfort and stress. This study introduces an innovative non-invasive glucose monitoring approach by integrating photoplethysmography (PPG) technology with an artificial intelligence (AI) algorithm, complemented by a mobile application using Flutter, IoT systems, and Firebase cloud for real-time data access. Among the AI models tested, polynomial regression demonstrated superior accuracy in glucose prediction, achieving a Mean Squared Error (MSE) of 14.76 and an R2 score of 0.729. Despite challenges such as motion artifacts and ambient light interference affecting PPG signals, the system provides an advanced, user-friendly solution for patients and healthcare teams to monitor glucose levels effectively and conveniently.  © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105002258381"
"Jian S.-E.; Lo Y.-L.; Chuang Y.-T.; Kuo S.-H.","Jian, Shi-En (59008362400); Lo, Yu-Lung (36814022600); Chuang, Yun-Tzu (59007953800); Kuo, Shu-Han (59421986700)","59008362400; 36814022600; 59007953800; 59421986700","Using Machine learning to predict blood glucose level based on Photoplethysmography","2025","Measurement: Journal of the International Measurement Confederation","253","","117421","","","","0","10.1016/j.measurement.2025.117421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001866611&doi=10.1016%2fj.measurement.2025.117421&partnerID=40&md5=bb9a5b0bc27eeed04ce2aaa703202289","Photoplethysmography (PPG) is a non-invasive technique used to monitor the tiny changes in blood vessels caused by the heartbeat. This study obtained PPG signals from a commercial PPG module, followed by Signal Quality Index (SQI) detection to assess the signal quality and further signal processing, such as filtering and baseline shift. As a result, a total of 36 features were extracted from PPG signals in both time and frequency domains, and a correlation matrix was used to inspect the correlation among features. Machine learning models, including Random Forest (RF) and eXtreme Gradient Boosting (XGBoost), were employed to train and predict blood glucose levels. Of the 36 features, 9 were selected for use as input data for red and infrared light signals. Four datasets, namely “Red”, “Infrared”, “Composite” (a combination of “Red” and “Infrared”), and “Modified Composite” (a refined version of the “Composite” dataset that reduces feature collinearity and enhances prediction accuracy), were investigated. The RF model trained with the “Modified Composite” dataset yielded the best prediction, with a Mean Absolute Relative Difference (MARD) of 5.15% and an R-value of 0.93. © 2025 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-105001866611"
"Sharifi S.; Maddah-T A.; Akbarzadeh-T M.-R.","Sharifi, Shahrooz (59404136000); Maddah-T, Amirhoseein (59404455500); Akbarzadeh-T, Mohammad-R. (6603491496)","59404136000; 59404455500; 6603491496","Intelligent Near-Infrared Spectroscopy for Blood Glucose Level Classification","2024","Iranian Conference on Electrical Engineering, ICEE","","2024","","","","","0","10.1109/ICEE63041.2024.10668364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208609648&doi=10.1109%2fICEE63041.2024.10668364&partnerID=40&md5=aa61b312a29f46b0084aff22af7b508e","Diabetes Mellitus is a disease characterized by inadequate control of blood glucose levels, and it ranks among the leading causes of human mortality, the measurement of which, requires fingertip pricking. Nowadays, non-invasive healthcare monitoring systems based on wearable sensors and machine learning models hold the future of smart health. However, the nature of these methods is such that they get affected by internal physiological and external parameters, which is one of the obstacles to this path. This study aims to introduce a non-invasive blood glucose level classification method based on machine learning analysis. The device's sensor consists of an optical finger sensor that transmits near-infrared light, filtering, and amplification to reduce the noise of the extracted photoplethysmography signal. Moreover, we have adopted the four-stage framework of biomedical signal processing to analyze the acquired PPG signal. Before using the Savitzky-Golay derivation to pre-filter the signal and prepare it for feature extraction, it was normalized using Standard Normal Variate (SNV). In addition, four different machine learning models, including Support Vector Machine (SVM), Weighted K-Nearest Neighbors (KNN), Wide Neural Network, and Decision Tree were used for blood glucose level classification. For this study, a dataset was created consisting of 106 data, gathered from 27 subjects. Findings revealed that the Weighted KNN exhibited the best performance among other classification models, having 90.5% accuracy.  © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85208609648"
"Paksin P.; Muncharoensiri P.; Tantisatirapong S.; Jampa-Ngern S.; Dron N.; Chanwimalueang T.","Paksin, Prakairung (59697940300); Muncharoensiri, Phiengfah (59698363800); Tantisatirapong, Suchada (36246619100); Jampa-Ngern, Sira (57196187283); Dron, Noramon (56021510300); Chanwimalueang, Theerasak (16318476800)","59697940300; 59698363800; 36246619100; 57196187283; 56021510300; 16318476800","Modeling Blood Pressure Through Non-Invasive Vascular Contraction Signals","2024","16th Biomedical Engineering International Conference, BMEiCON 2024","","","","","","","0","10.1109/BMEiCON64021.2024.10896355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000276817&doi=10.1109%2fBMEiCON64021.2024.10896355&partnerID=40&md5=29b4bb957f5f0e6231127a7e86e2b66d","Chronic non-communicable diseases such as diabetes and hypertension are leading causes of mortality, often resulting in complications like heart disease and stroke. Blood pressure, a critical indicator of hypertension, is typically measured intermittently, which limits continuous monitoring. This study explores the development of a prototype for continuous blood pressure monitoring using photoplethysmogram (PPG) signals. By analyzing vascular contraction signals, we modeled blood pressure through three key PPG features: heart rate, average normal-to-normal intervals, and mean envelope size. Data from 35 participants were collected at rest and post-exercise. Using a two-variable linear regression equation, we found that the combination of heart rate and mean envelope size provided the most accurate systolic blood pressure estimates, with a mean error of 8.58% ± 5.81. This research highlights the potential for non-invasive, continuous blood pressure monitoring to better manage hypertension and related conditions. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105000276817"
"Du K.; Li J.; Huang Z.; Song H.; Zhang Y.; Zhang Y.; Mei Z.","Du, Kai (59261287300); Li, Jing (57196159129); Huang, Zhiyi (7406222769); Song, Houbing (57199094588); Zhang, Yuanting (59069557000); Zhang, Yuan (57216699404); Mei, Zhen (57218502502)","59261287300; 57196159129; 7406222769; 57199094588; 59069557000; 57216699404; 57218502502","A Non-Invasive Blood Glucose Detection System Based on Photoplethysmogram With Multiple Near-Infrared Sensors","2025","IEEE Journal of Biomedical and Health Informatics","29","4","","2496","2505","9","0","10.1109/JBHI.2024.3443317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201272498&doi=10.1109%2fJBHI.2024.3443317&partnerID=40&md5=fc769d5f650855de2131b0dcb6119ba6","Recent advancements in non-invasive blood glucose detection have seen progress in both photoplethysmogram and multiple near-infrared methods. While the former shows better predictability of baseline glucose levels, it lacks sensitivity to daily fluctuations. Near-infrared methods respond well to short-term changes but face challenges due to individual and environmental factors. To address this, we developed a novel fingertip blood glucose detection system combining both methods. Using multiple light sensors and a lightweight deep learning model, our system achieved promising results in oral glucose tolerance tests. A total of 10 participants were involved in the study, each providing approximately 700 data segments of about 10 seconds each. With a root mean squared error of 0.242 mmol/L and 100% accuracy in zone A of the Parkes error grid, our approach demonstrates the potential of multiple near-infrared sensors for non-invasive glucose detection. © 2013 IEEE.","Article","Final","","Scopus","2-s2.0-85201272498"
"Panahi M.; Masihi S.; Hanson A.; Rodriguez-Labra J.R.; Masihi A.; Maddipatla D.; Narakathu B.B.; Lawson D.; Atashbar M.Z.","Panahi, M. (57044455900); Masihi, S. (55539785800); Hanson, A. (57210745735); Rodriguez-Labra, J.R. (57214363957); Masihi, A. (57872982100); Maddipatla, D. (57188821607); Narakathu, B. B (35810894200); Lawson, D. (59793406300); Atashbar, M.Z. (6603953629)","57044455900; 55539785800; 57210745735; 57214363957; 57872982100; 57188821607; 35810894200; 59793406300; 6603953629","A Smart Wearable Oximeter Insole for Monitoring SpO2Levels of Diabetics' Foot Ulcer","2022","FLEPS 2022 - IEEE International Conference on Flexible and Printable Sensors and Systems, Proceedings","","","","","","","8","10.1109/FLEPS53764.2022.9781511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137180435&doi=10.1109%2fFLEPS53764.2022.9781511&partnerID=40&md5=af1cace6f4e8a953edff1878644c281a","This work presents the development of a fully functional prototype of a wearable smart shoe insole that can monitor arterial oxygen saturation (SpO2) levels at the foot of a diabetic patient using photoplethysmography (PPG) signals. Continuous monitoring of SpO2 levels in diabetic foot ulcer (DFU) patients can provide critical information on the severity of the ulcer, the wound healing process, and the possible need for oxygenation of the wound bed. The developed oximetry system seamlessly integrates the internet of things (IoT) via a custom developed Android mobile application, thus enabling ""at-home""monitoring. Fifteen healthy subjects were tested, and the insole oximeter was able to successfully estimate SpO2 levels at the toe. An average error of ˜ 2.8% was calculated for the measured/estimated SpO2 levels at the subjects' toe when compared to a reference oximeter attached to the finger. In people suffering from chronic DFU wounds, measuring and ensuring appropriate oxygen levels at the foot is critically important for healing the ulcer's cells/tissues. The fabrication process of the system, details of the PPG tests and analysis of the obtained results are presented and reported in this paper. © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85137180435"
"Prabha A.; Yadav J.; Rani A.; Singh V.","Prabha, Anju (57200993920); Yadav, Jyoti (57213104555); Rani, Asha (36630675700); Singh, Vijander (57718317300)","57200993920; 57213104555; 36630675700; 57718317300","Design of intelligent diabetes mellitus detection system using hybrid feature selection based XGBoost classifier","2021","Computers in Biology and Medicine","136","","104664","","","","75","10.1016/j.compbiomed.2021.104664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111265219&doi=10.1016%2fj.compbiomed.2021.104664&partnerID=40&md5=81a567df6a092d166d7c66a8a39ea2a8","In this work, a non-invasive diabetes mellitus detection system is proposed based on the wristband photoplethysmography (PPG) signal and basic physiological parameters (PhyP) to enable easy detection of diabetes mellitus (DM). A dataset of 217 participants with diabetes, prediabetes and normal conditions is used to develop the system. The Mel frequency cepstral coefficients (MFCC) extracted from 5s PPG signal segments and the PhyP are used as input for the machine learning algorithms. The K-nearest neighbors, support vector machine, random forest and extreme gradient boost (XGBoost) classifiers are used for classification. In addition, a hybrid feature selection method (Hybrid FS) is proposed to reduce the size of the input data. The Hybrid FS-based XGBoost system achieves a high accuracy of 99.93 % for non-invasive diabetes detection with fewer features and less computational effort. The analysis suggests that the PPG signal from a wearable sensor is a good alternative for simple non-invasive blood glucose measurements in routine applications. © 2021 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85111265219"
"Liao K.-M.; Wang S.-H.; Tsai L.-T.; Chen Y.-C.; Wang T.-C.; Wang G.-C.","Liao, Kuo-meng (12783416800); Wang, Sheng-Hung (55268216000); Tsai, Li-Ting (55915570200); Chen, Ying-Chun (57203842397); Wang, Tien-Chung (57226293840); Wang, Gin-Chung (57203838075)","12783416800; 55268216000; 55915570200; 57203842397; 57226293840; 57203838075","A non-invasive harmonic analysis to assess risk of retinopathy in type 2 diabetes mellitus","2022","Journal of Diabetes and its Complications","36","10","108306","","","","1","10.1016/j.jdiacomp.2022.108306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137736751&doi=10.1016%2fj.jdiacomp.2022.108306&partnerID=40&md5=6d268cf606d1d927587ad124293cd968","Aims: Assessing the hemodynamic changes of diabetic retinopathy (DR) using harmonic analysis of both non-invasively measured radial pulse and photoplethysmography (PPG) signals to propose a DR risk indicator. Methods: A total of 1879 patients with diabetes were followed on average of 3.5 years. The radial pulse and PPG signals were measured at the beginning of the trial. Kaplan-Meier curves of the DR risk indicator was analyzed. In addition, the correlation between the measurements of the radial pulse and PPG was evaluated. Results: In comparison of the patients' clinical characteristics, years of diabetes, systolic blood pressure, HbA1C, ACR, urinary albumin and fourth harmonic (C4) were higher in the DR group, and eGFR and third harmonic (C3) were lower. Patients in the high-DR risk group had a 1.8-fold higher risk of developing retinopathy than those in the low-risk group (log-rank test, p < 0.001). The correlation coefficient between radial pulse and PPG measurements for C3 and C4 were 0.727 and 0.628, respectively. Conclusions: The harmonic analysis of radial pulse and PPG signals may be used to reflect the effect of DR in hemodynamics and the derived harmonic components may predict the risk of DR of patients with type 2 diabetes. © 2022 Elsevier Inc.","Article","Final","","Scopus","2-s2.0-85137736751"
"Maghrisya S.; Ridwan A.M.; Effendi M.R.; Arief Hakim N.F.; Sari R.P.; Ramdani R.","Maghrisya, Syahrul (58799666900); Ridwan, Azwar Mudzakkir (57203038714); Effendi, Mufid Ridlo (57203181425); Arief Hakim, Nurul Fahmi (57203060351); Sari, Riska Puspita (58799740000); Ramdani, Rismawati (55851423500)","58799666900; 57203038714; 57203181425; 57203060351; 58799740000; 55851423500","Prototype of Glucose Meter with Non-Invasive Method Based on IoT","2023","Proceeding of 2023 9th International Conference on Wireless and Telematics, ICWT 2023","","","","","","","1","10.1109/ICWT58823.2023.10335215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181767557&doi=10.1109%2fICWT58823.2023.10335215&partnerID=40&md5=f69d5175d145e93acf178c4b5e9e54fe","Health is something that must always be maintained and considered, with the aim of obtaining a good quality of life. Technological advances currently have an important role in the process of maintaining human health. One of the utilization of technology is a system for checking blood glucose levels. Currently, the blood glucose checking system uses invasive methods, namely, using blood samples. Through the utilization of technological advances, especially control systems, checking blood glucose levels began to be developed non-invasively using photodiode sensors with the Photoplethysmograph (PPG) method. This method is a simple optical technique used to detect volumetric changes in peripheral circulation so that it can make measurements in the skin. The prototype of the ESP-32-based non-invasive blood sugar level measuring instrument is carried out with a system design process using a photodiode and LED sensors as an optical sensor circuit, ESP-32 microcontroller, 16x2 LCD, and Telegram bot. LED is used as a light source, and photodiode as a sensor that converts light to voltage. The microcontroller processes the data received from the sensor and then performs the conversion process into glucose levels. The results of the system processing are displayed in the form of LCD and notification via Telegram bot so that it can be monitored from anywhere by utilizing IoT. The experimental results show that the system made has been able to measure glucose levels with a non-invasive method. This is evidenced by the data obtained through 10 experimental tests and calculating the error; the average absolute error value is 4.243mg/dL.  © 2023 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85181767557"
"Zhang C.; Jovanov E.; Liao H.; Zhang Y.-T.; Lo B.; Zhang Y.; Guan C.","Zhang, Chuanhao (57222495857); Jovanov, Emil (6603887656); Liao, Hongen (7201507586); Zhang, Yuan-Ting (56255024900); Lo, Benny (15834859900); Zhang, Yuan (57216699404); Guan, Cuntai (7101632622)","57222495857; 6603887656; 7201507586; 56255024900; 15834859900; 57216699404; 7101632622","Video Based Cocktail Causal Container for Blood Pressure Classification and Blood Glucose Prediction","2023","IEEE Journal of Biomedical and Health Informatics","27","2","","1118","1128","10","12","10.1109/JBHI.2022.3220967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141593151&doi=10.1109%2fJBHI.2022.3220967&partnerID=40&md5=9b8d6d8d93cad6834d89daf5771b9cbb","With the development of modern cameras, more physiological signals can be obtained from portable devices like smartphone. Some hemodynamically based non-invasive video processing applications have been applied for blood pressure classification and blood glucose prediction objectives for unobtrusive physiological monitoring at home. However, this approach is still under development with very few publications. In this paper, we propose an end-to-end framework, entitled cocktail causal container, to fuse multiple physiological representations and to reconstruct the correlation between frequency and temporal information during multi-task learning. Cocktail causal container processes hematologic reflex information to classify blood pressure and blood glucose. Since the learning of discriminative features from video physiological representations is quite challenging, we propose a token feature fusion block to fuse the multi-view fine-grained representations to a union discrete frequency space. A causal net is used to analyze the fused higher-order information, so that the framework can be enforced to disentangle the latent factors into the related endogenous association that corresponds to down-stream fusion information to improve the semantic interpretation. Moreover, a pair-wise temporal frequency map is developed to provide valuable insights into extraction of salient photoplethysmograph (PPG) information from fingertip videos obtained by a standard smartphone camera. Extensive comparisons have been implemented for the validation of cocktail causal container using a Clinical dataset and PPG-BP benchmark. The root mean square error of 1.329 ± 0.167 for blood glucose prediction and precision of 0.89 ± 0.03 for blood pressure classification are achieved in Clinical dataset.  © 2022 IEEE.","Article","Final","","Scopus","2-s2.0-85141593151"
"Taslim Uddin Raju S.M.; Hashem M.M.A.","Taslim Uddin Raju, S.M. (57222044321); Hashem, M.M.A. (24448166000)","57222044321; 24448166000","DNN Based Blood Glucose Level Estimation Using PPG Characteristic Features of Smartphone Videos","2022","Proceedings of 2022 25th International Conference on Computer and Information Technology, ICCIT 2022","","","","13","18","5","2","10.1109/ICCIT57492.2022.10055090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150201145&doi=10.1109%2fICCIT57492.2022.10055090&partnerID=40&md5=ff958ed320fd690d2b90dd82af7ded7c","Diabetes is a perpetual metabolic issue that can prompt severe complications. Blood glucose level (BGL) is usually monitored by collecting a blood sample and assessing the results. This type of measurement is extremely unpleasant and inconvenient for the patient, who must undergo it frequently. This paper proposes a novel real-time, non-invasive technique for estimating BGL with smartphone photoplethysmogram (PPG) signal extracted from fingertip video and deep neural networks (DNN). Fingertip videos are collected from 93 subjects using a smartphone camera and a lighting source, and subsequently the frames are converted into PPG signal. The PPG signals have been preprocessed with Butterworth bandpass filter to eliminate high frequency noise, and motion artifact. Therefore, there are 34 features that are derived from the PPG signal and its derivatives and Fourier transformed form. In addition, age and gender are also included as features due to their considerable influence on glucose. Maximal information coefficient (MIC) feature selection technique has been applied for selecting the best feature set for obtaining good accuracy. Finally, the DNN model has been established to determine BGL non-invasively. DNN model along with the MIC feature selection technique outperformed in estimating BGL with the coefficient of determination (R2) of 0.96, implying a good relationship between glucose level and selected features. The results of the experiments suggest that the proposed method can be used clinically to determine BGL without drawing blood.  © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85150201145"
"Tomo A.; Pekdemir M.; Ozturan I.U.; Dogan N.O.; Yaka E.; Yilmaz S.","Tomo, Asim (57223179811); Pekdemir, Murat (6602502315); Ozturan, Ibrahim Ulas (57193160707); Dogan, Nurettin Ozgur (36819842700); Yaka, Elif (6506398553); Yilmaz, Serkan (15123413300)","57223179811; 6602502315; 57193160707; 36819842700; 6506398553; 15123413300","Use of noninvasive volume assessment methods to predict acute blood loss in spontaneously breathing volunteers","2021","Clinical and Experimental Emergency Medicine","8","1","","9","15","6","2","10.15441/CEEM.20.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105127493&doi=10.15441%2fCEEM.20.021&partnerID=40&md5=f7324b97b5a1ccc0580a972c243e0c68","Objective The use of noninvasive volume assessment methods to predict acute blood loss in spontaneously breathing patients remains unclear. We aimed to investigate changes in the pleth variability index (PVI), vena cava collapsibility index (VCCI), end-tidal carbon dioxide (EtCO2), pulse pressure (PP), and mean arterial pressure (MAP) in spontaneously breathing volunteers after acute loss of 450 mL blood and passive leg raise (PLR). Methods This prospective observational study enrolled healthy volunteers in the blood donation center of an academic hospital. We measured the PVI, EtCO2, VCCI, MAP, and PP before blood donation; at the 0th and 10th minute of blood donation; and after PLR. The primary outcome was the changes in PVI, EtCO2, VCCI, MAP, and PP. Results We enrolled thirty volunteers. There were significant differences among the four obtained measurements of the PVI, EtCO2, and MAP (P<0.001, P<0.001, P<0.001, respectively). Compared to the predonation values, post-hoc analysis revealed an increase in the PVI at the 0th min postdonation (mean difference [MD], 5.4±5.9; 95% confidence interval [CI], -7.6 to -3.1; P<0.001); a decrease in the EtCO2 and MAP at the 0th and 10th minute postdonation, respectively (MD, 2.4±4.6; 95% CI, 0.019 to 4.84; P=0.008 and MD, 6.4±6.4; 95% CI, 3 to 9.7; P<0.001, respectively). Compared with EtCO2 at the 10th minute, the value increased after PLR (MD, 1.8±3.2; 95% CI, 0.074 to 4.44; P=0.006). Conclusion The PVI and EtCO2 could detect early hemodynamic changes after acute blood loss. However, it remains unclear whether they can determine volume status in spontaneously breathing patients. © 2021 The Korean Society of Emergency Medicine.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85105127493"
"Putra K.T.; Surahmat I.; Nazilah Chamim A.N.; Ramadhan M.Z.; Wicaksana D.; Dhea Namyra Alissa R.A.","Putra, Karisma Trinanda (57188576880); Surahmat, Indar (53265069200); Nazilah Chamim, Anna Nur (57190835886); Ramadhan, Muhammad Zhafran (57239169600); Wicaksana, Darma (58795730700); Dhea Namyra Alissa, Raden Ajeng (58795684100)","57188576880; 53265069200; 57190835886; 57239169600; 58795730700; 58795684100","Continuous Glucose Monitoring: A Non-Invasive Approach for Improved Daily Healthcare","2023","Proceedings - 2023 3rd International Conference on Electronic and Electrical Engineering and Intelligent System: Responsible Technology for Sustainable Humanity, ICE3IS 2023","","","","395","400","5","2","10.1109/ICE3IS59323.2023.10335328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181541277&doi=10.1109%2fICE3IS59323.2023.10335328&partnerID=40&md5=b19030d5e3a36536aaa2217d8cc45683","Diabetes mellitus is a prevalent health condition affecting approximately one in eight individuals worldwide. Insufficient management of this disease can lead to various medical complications, including vision loss and limb amputation. Continuous glucose monitoring (CGM) is crucial for effective diabetes management. However, current one-time glucose monitoring methods still rely on invasive techniques, causing pain and lacking continuous monitoring capability. This study aims to develop a non-invasive technology for measuring blood glucose levels that can be conveniently monitored through a smartphone using wireless communication. The device utilizes an ESP32 microprocessor and a PPG MAX 30102 sensor capable of recording pulse waves, a biomarker, at the fingertips. In this preliminary study, non-invasive data from 22 participants were used and divided into three classes according to conventional invasive measurements. Artificial intelligence (AI) methods, specifically Convolutional Neural Networks (CNN) and Artificial Neural Networks (ANN) models, were utilized to achieve convergence between the conventional invasive measurements and the proposed approach. The trained model demonstrated the highest accuracy of 0.944, with a minimum model loss of 0.177. In the validation phase, the proposed approach proved its reliability by achieving an average accuracy of 0.750. The non-invasive approach has the potential to provide a convenient and pain-free alternative to traditional monitoring methods, significantly enhancing diabetes management and improving the overall quality of life for those affected by this condition. © 2023 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85181541277"
"Nie Z.; Rong M.; Li K.","Nie, Zihan (57890207000); Rong, Meng (57203729055); Li, Kaiyang (7404990209)","57890207000; 57203729055; 7404990209","Blood glucose prediction based on imagingphotoplethysmography in combination with Machine learning","2023","Biomedical Signal Processing and Control","79","","104179","","","","16","10.1016/j.bspc.2022.104179","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138033764&doi=10.1016%2fj.bspc.2022.104179&partnerID=40&md5=4a143ac18fec2dbd932afc825faa90ad","At present, the mainstream blood glucose detection methods are invasive, which will cause harm to the human body and make it inconvenient to measure. The non-contact measurement method can avoid these problems. In this paper, a non-contact blood glucose detection method based on a near-infrared camera is proposed. Blood glucose has a strong absorption capacity in the near-infrared band, and other components in blood (water, hemoglobin, etc.) have different absorption characteristics in this band compared with blood glucose. Therefore, in this method, we realize blood glucose detection by receiving the near-infrared light reflected back after blood glucose absorption. We extracted 26 pulse wave features from the pulse wave and analyzed 6 that were highly correlated with blood glucose. Then, four kinds of machine learning algorithms (PCR, PLS, SVR, RFR) were used to build models respectively, and the RFR with the best performance was selected to build the final blood glucose prediction model. Finally, the experimental results are analyzed by Clark error grid analysis, which shows that the proposed method is in good agreement with the reference glucose monitor. Compared with traditional invasive blood glucose detection methods, the non-contact blood glucose detection method has more application prospects. © 2022","Article","Final","","Scopus","2-s2.0-85138033764"
"Turja M.S.; Kwon T.-H.; Kim H.; Kim K.-D.","Turja, Mrinmoy Sarker (58174513600); Kwon, Tae-Ho (57191905374); Kim, Hyoungkeun (57219916039); Kim, Ki-Doo (26221772100)","58174513600; 57191905374; 57219916039; 26221772100","XGBoost Calibration Considering Feature Importance for Noninvasive HbA1c Estimation Using PPG Signals","2023","5th International Conference on Artificial Intelligence in Information and Communication, ICAIIC 2023","","","","440","443","3","1","10.1109/ICAIIC57133.2023.10067013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151983920&doi=10.1109%2fICAIIC57133.2023.10067013&partnerID=40&md5=aee72fbbe6a83adf3afd265fbf884d07","Diabetes has recently become a more serious disease. Almost every family has at least one diabetic. Patients have to regularly monitor their blood glucose levels, and using an invasive device on the other hand can be really painful and less reliable. This is because blood glucose levels fluctuate more with food intake. On the contrary, HbA1c level does not fluctuate as much as that of blood glucose. Therefore, in this study, XGBoost calibration considering only important features for Monte-Carlo simulation based noninvasive HbA1c estimation with PPG signals was proposed. After considering the important 13 of the 45 features, the model achieved a Pearson's r value of 98.90%.  © 2023 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85151983920"
"Lee E.; Lee C.-Y.","Lee, Eugene (57209197935); Lee, Chen-Yi (55934856300)","57209197935; 55934856300","PPG-Based Smart Wearable Device with Energy-Efficient Computing for Mobile Health-Care Applications","2021","IEEE Sensors Journal","21","12","9389545","13564","13573","9","36","10.1109/JSEN.2021.3069460","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103759395&doi=10.1109%2fJSEN.2021.3069460&partnerID=40&md5=34d125116bf143fa8316a804e5a9e116","Individualized health-care is gaining traction recently due to the advances in sensor technology, edge computing and the improvement in communication technologies. In this work, we show the application of wearable device for mobile health-care along with supporting algorithms using photoplethysmogram (PPG) as our signal source. We introduce the design of our wearable device equipped PPG sensors for extracting valuable bio-information from the human body. Using our device, we introduce Centralized State Sensing (CSS), an algorithm that improves the estimation of different health parameters. By using heart rate estimation as an example, the proposed algorithm is 26.8% better in terms of mean absolute error when compared with the average reading taken across sensors. We also propose a deep neural network model applied to a PPG-glucose dataset containing 349 samples provided by our industry partner for non-invasive blood glucose estimation achieving an accuracy of 84.29% based on ISO:15197:2013 standard.  © 2001-2012 IEEE.","Article","Final","","Scopus","2-s2.0-85103759395"
"Alghlayini S.; Hosni A.; Atef M.","Alghlayini, Saifeddin (57215612010); Hosni, Asmaa (36015188300); Atef, Mohamed (25960546300)","57215612010; 36015188300; 25960546300","Photoplethysmography Based Blood Glucose Estimation Using Convolutional Neural Networks","2023","2023 Advances in Science and Engineering Technology International Conferences, ASET 2023","","","","","","","5","10.1109/ASET56582.2023.10180655","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167425290&doi=10.1109%2fASET56582.2023.10180655&partnerID=40&md5=a853bdfba786e84a663148b493398552","This paper introduces the design and measurements for non-invasive blood glucose level (BGL) estimation using a convolutional neural network (CNN) based on photoplethysmography (PPG). The prototype consists of a PPG sensor connected to a microcontroller (MCU) Arduino Nano 33 BLE Sense. The PPG-only based CNN model deployed on the MCU showed 89.28% of the predicted samples in zone A of a Clarke error grid (CEG). When the mean power spectrum feature from PPG signals was included, the results demonstrated an improvement in the accuracy to be 92.85%. The proposed system is real-time and non-invasive that can be used to replace the existing invasive glucometers.  © 2023 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85167425290"
