Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Noninvasive Glucose Monitoring SoC Based on Single Wavelength Photoplethysmography,A. Hina; W. Saadeh,"Electrical Engineering Department, Lahore University of Management Sciences, Lahore, Pakistan; Electrical Engineering Department, Lahore University of Management Sciences, Lahore, Pakistan",IEEE Transactions on Biomedical Circuits and Systems,27-May-20,2020,14,3,504,515,"Conventional glucose monitoring methods for the growing numbers of diabetic patients around the world are invasive, painful, costly and, time-consuming. Complications aroused due to the abnormal blood sugar levels in diabetic patients have created the necessity for continuous noninvasive glucose monitoring. This article presents a wearable system for glucose monitoring based on a single wavelength near-infrared (NIR) Photoplethysmography (PPG) combined with machine-learning regression (MLR). The PPG readout circuit consists of a switched capacitor Transimpedance amplifier with 1 MΩ gain and a 10-Hz switched capacitor LPF. It allows a DC bias current rejection up to 20 μA with an input-referred current noise of 7.3 pA/√Hz. The proposed digital processor eliminates motion artifacts, and baseline drifts from PPG signal, extracts six distinct features and finally predicts the blood glucose level using Support Vector Regression with Fine Gaussian kernel (FGSVR) MLR. A novel piece-wise linear (PWL) approach for the exponential function is proposed to realize the FGSVR on-chip. The overall system is implemented using a 180 nm CMOS process with a chip area of 4.0 mm2 while consuming 1.62 mW. The glucose measurements are performed for 200 subjects with R2 of 0.937. The proposed system accurately predicts the sugar level with a mean absolute relative difference (mARD) of 7.62%.",1940-9990,,10.1109/TBCAS.2020.2979514,Higher Education Commission (HEC)(grant numbers:7982/Punjab/NRPU/R&D/HEC/2017); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028112,Glucose Monitoring;machine learning regre-ssion;near-infrared (NIR);Photoplethysmography (PPG);wearable devices,Sugar;Light emitting diodes;Monitoring;Diabetes;Feature extraction;Clocks;Biomedical monitoring,"Adolescent;Adult;Aged;Algorithms;Amplifiers, Electronic;Blood Glucose;Equipment Design;Female;Humans;Lab-On-A-Chip Devices;Machine Learning;Male;Middle Aged;Monitoring, Physiologic;Photoplethysmography;Signal Processing, Computer-Assisted;Wearable Electronic Devices;Young Adult",73,,60,IEEE,9-Mar-20,,,IEEE,IEEE Journals
Wearble Noninvasive Glucose Estimation based on Multi-wavelength Reflective Photoplethysmography,N. M. H. Long; W. -Y. Chung,"Department of AI Convergence, Pukyong National University, Busan, Korea; Department of AI Convergence, Pukyong National University, Busan, Korea",2021 IEEE Photonics Conference (IPC),12-Nov-21,2021,,,1,2,"This study presents the experiment results of glucose concentration monitoring using reflective photoplethysmogram technique with four different wavelengths. It is observed that green wavelength has a high correlation with glucose concentration in one-hour-continuous-collected data, and the linear regression model achieved an 81% accuracy.",2575-274X,978-1-6654-1601-6,10.1109/IPC48725.2021.9592997,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9592997,PPG;noninvasive;continuous glucose monitoring;machine learning;wearable,Correlation;Conferences;Linear regression;Estimation;Photoplethysmography;Data models;Glucose,,1,,6,IEEE,12-Nov-21,,,IEEE,IEEE Conferences
A Machine Learning Approach for Diagnosis of Diabetes Through Fusion of PPG and ECG Signals,H. A. Basit; M. Faraz,"Department of Electronics Engineering, University of Engg. & Tech. Taxila, Taxila, Pakistan; Department of Electronics Engineering, University of Engg. & Tech. Taxila, Taxila, Pakistan",2024 19th International Conference on Emerging Technologies (ICET),26-Mar-25,2024,,,1,6,"Currently, the worldwide prevalence of diabetes is about 537 million patients. Diabetes itself is not only fatal but also a cause of various diseases such as kidney and heart failures and other complications for instance neuropathy and ulcers. The prevailing methods to diagnose diabetes are all invasive (A1C, Fasting Glucose Plasma, etc.) and usually require from a few hours to a few days to provide accurate results. Hence, early diagnosis is essential to prevent the effects of diabetes and its related diseases. This work presents a non-invasive method to diagnose both type 1 and 2 diabetes. Here, we collected biosignals such as Electrocardiogram (ECG) and Photoplethysmography (PPG) using BIOPAC MP 36 and proposed a machine learning (ML) algorithm for detecting diabetes using a fusion of ECG & PPG signals. We utilized a band stop and notch filter for the removal of noise and motion artifacts contained within the acquired raw signals. Next, we extracted salient cepstral domain features from the filtered signals and employed a variety of classifiers for accurate diagnosis of diabetes. Fine-KNN classifier demonstrated an average accuracy of 98.46% and 99.03% for training and testing respectively by fusing information from ECG & PPG signals,",2994-5798,979-8-3503-7958-7,10.1109/ICET63392.2024.10935215,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10935215,Diabetes;Electrocardiogram;Photoplethysmog-raphy;Machine learning;Biomedical signal processing,Training;Accuracy;Cepstral analysis;Noise;Machine learning;Electrocardiography;Feature extraction;Diabetes;Notch filters;Testing,,,,25,IEEE,26-Mar-25,,,IEEE,IEEE Conferences
A $186\mu \mathrm{W}$ Glucose Monitoring SoC using Near-Infrared Photoplethysmography,A. Hina; W. Saadeh,"Department of Electrical Engineering, Lahore University of Management and Sciences (LUMS), Lahore, Pakistan; Department of Electrical Engineering, Lahore University of Management and Sciences (LUMS), Lahore, Pakistan",2020 IEEE Asian Solid-State Circuits Conference (A-SSCC),1-Feb-21,2020,,,1,4,"A glucose monitoring SoC based on near-infrared Photoplethysmography (PPG) is presented. It integrates fully differential AFE with nonlinear support-vector-machine regression (NSVMR). The AFE utilizes chopper to reduce input-referred current noise by 57%, and trans-impedance amplifier input impedance by 90%, thus allows 115dB dynamic range. The NSVMR is realized using the piecewise linear floating-point exponential, which decreases the area by 27% compared to conventional implementations. The 6mm2 SoC in 0.18um CMOS consumes 186 μW and reduces the mean absolute relative difference (mARD) by 30% verified on 200 subjects.",,978-1-7281-8436-4,10.1109/A-SSCC48613.2020.9336124,"Higher Education Commission (HEC), Pakistan(grant numbers:7982/Punjab/NRPU/R&D/HEC/2017); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9336124,Diabetes;glucose estimation;non-invasive sensing;Photoplethysmography (PPG);wearable sensor,Support vector machines;Photoplethysmography;Glucose;Solid state circuits;Sensors;Impedance;Monitoring,,8,,11,IEEE,1-Feb-21,,,IEEE,IEEE Conferences
Near-Infrared Based Non-Invasive Glucose Monitoring System,N. M; K. s. A; J. S. P; B. Sharmila; L. Dhiviyalakshmi,"Department of Biomedical Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Department of Biomedical Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Department of Biomedical Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Department of Biomedical Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Department of Biomedical Engineering, Sri Ramakrishna Engineering College, Coimbatore, India",2024 5th International Conference on Smart Sensors and Application (ICSSA),17-Dec-24,2024,,,1,5,"Diabetes is a worldwide health hazard that requires frequent testing due to its high blood glucose levels. Conventional fingerstick testing lacks the capacity for continuous monitoring, is painful, and produces biomedical waste. Promising substitutes include non- invasive glucometers that rely on optical technologies, particularly, Near-Infrared Spectroscopy (NIRS). Although there are some difficulties such as low signal-to- noise ratio and calibration issues, NIR- based sensors have promise for precise glucose prediction. The importance of NIR technology in developing non- invasive glucose sensing is highlighted in this paper. The main goal of ongoing research is to improve the reliability and feasibility of non- invasive glucose measurements which are essential for managing diabetes effectively.",,979-8-3503-5429-4,10.1109/ICSSA62312.2024.10788615,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10788615,blood glucose detection;diabetes mellitus;non-invasive techniques for glucose sensing;near-infrared spectroscopy,Glucose;Diabetes;Reliability;Optical sensors;Optical reflection;Optical noise;Optical signal processing;Monitoring;Blood;Testing,,,,20,IEEE,17-Dec-24,,,IEEE,IEEE Conferences
Improvement of Non-invasive Glucose Estimation Accuracy through Multi-wavelength PPG,T. Li; Q. Wang; L. Lei; Y. An; L. Guo; L. Ren; X. Chen,"Big Data Institute, Central South University, Changsha, China; Hunan Longgang Intelligent Technology Co., Ltd, Changsha, China; Big Data Institute, Central South University, Changsha, China; Big Data Institute, Central South University, Changsha, China; Big Data Institute, Central South University, Changsha, China; Big Data Institute, Central South University, Changsha, China; Big Data Institute, Central South University, Changsha, China",IEEE Journal of Biomedical and Health Informatics,,2025,PP,99,1,14,"Effective diabetes management requires regular and accurate blood glucose monitoring; however, traditional invasive methods often cause discomfort and inconvenience. Non-invasive techniques such as photoplethysmography (PPG) have been explored, though single-wavelength PPG systems are limited by the overlapping absorption characteristics between glucose and other biological components, such as water and fat. In this study, a novel multi-wavelength PPG system integrated with temperature and humidity sensors is introduced, coupled with a neural network framework featuring attention mechanisms to enhance glucose prediction. The system employs six optical sensors covering wavelengths from the visible to near-infrared (NIR) spectrum, enabling deeper tissue penetration and enhanced glucose specificity by targeting distinct absorption peaks—especially those above 1000 nm. The system was validated using a robust dataset of 26,063 measurements from 254 participants. The experimental results demonstrate significant improvements, with the model achieving 86.49% compliance with the ISO 15197: 2013 standards and 91.80% of measurements falling within Zone A of the Parkes error grid. The introduction of multiple wavelengths clearly improves performance over single-wavelength systems, and wavelengths above 1000 nm were shown to have a higher contribution in glucose prediction. In addition, the incorporation of temperature and humidity data also enhanced performance by accounting for environmental and physiological factors, and that demographic and meal-related factors significantly impact prediction accuracy, thereby underscoring the potential of this system as a reliable, non-invasive, and personalized glucose monitoring tool.",2168-2208,,10.1109/JBHI.2025.3556666,National Key Research and Development Program of China(grant numbers:2023YFC3604601); Nature Science Foundation of Hunan Province in China(grant numbers:2023JJ70019); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10946763,Non-invasive blood glucose monitoring;neural network;photoplethysmography;near-infrared;multi-wavelength sensor,Glucose;Blood;Accuracy;Monitoring;Estimation;Biomedical monitoring;Temperature measurement;Optical sensors;Diabetes;Biomedical measurement,,,,,IEEE,1-Apr-25,,,IEEE,IEEE Early Access Articles
A Non-Invasive Blood Insulin and Glucose Monitoring System Based on Near-Infrared Spectroscopy with Remote Data Logging,S. R. Chowdhury; B. Nandi; P. Mondal,"Indian Institute of Technology Mandi, Mandi, Himachal Pradesh, IN; School of Basic Sciences Indian Institute of Technology Mandi Mandi, India; School of Computing and Electrical Engg. Indian Institute of Technology Mandi Mandi, India",2018 IEEE 31st International Symposium on Computer-Based Medical Systems (CBMS),23-Jul-18,2018,,,274,279,"This paper presents the development of a portable, Non-Invasive device for monitoring patients' blood Insulin and Glucose concentration. It is based on Near-Infrared(NIR) Spectroscopy. Perkin-Elmer Lambda 750 spectrometer was used to study the absorbance of Insulin and glucose at different wavelengths of NIR region. NIR LED (Light Emitting diode) of appropriate wavelengths were used to construct a finger clip. A separate Printed Circuit Board (PCB) was constructed; that connects to the finger clip and acquires the Photoplethysmography (PPG) signal at three separate NIR wavelengths. The PPG signal can be used to detect the concentartion of Glucose and Insulin in blood. The PCB has a WiFi module interfaced within it; that supports Internet connectivity and uploads the time series data of insulin and glucose to a server. The data can be viewed in a graphical format by authorized users. This can be used by a medical practitioner to understand whether the data shows an increasing or decreasing trend and hence, will enable to prognosticate the approaching critical condition of the patient much before the critical condition actually occurs.",2372-9198,978-1-5386-6060-7,10.1109/CBMS.2018.00055,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417250,Near-Infrared;Non-Invasive;Insulin;Glucose;Photoplethysmography;Microcontroller,Sugar;Blood;Insulin;Photodiodes;Servers;Light emitting diodes;Monitoring,,6,,23,IEEE,23-Jul-18,,,IEEE,IEEE Conferences
Near-Infrared based Non-Invasive Blood Glucose Monitoring using Statistical Models,S. S. Hemalatha; D. Muthaiah Nataraj; H. V. Arun; J. Mohan,"School of Electronics Engineering, Vellore Institute of Technology (VIT), Chennai, Tamilnadu, India; School of Electronics Engineering, Vellore Institute of Technology (VIT), Chennai, Tamilnadu, India; School of Electronics Engineering, Vellore Institute of Technology (VIT), Chennai, Tamilnadu, India; School of Electronics Engineering, Vellore Institute of Technology (VIT), Chennai, Tamilnadu, India",2025 AI-Driven Smart Healthcare for Society 5.0,16-Apr-25,2025,,,200,205,"Diabetes management requires effective glucose monitoring, but most current techniques are intrusive, making patients uncomfortable and reducing compliance. This paper presents a non-invasive blood glucose monitoring system that combines Arduino UNO, an LCD, a buzzer, and a unique near-infrared (NIR) technology sensor. The device determines blood glucose levels by examining the NIR absorption properties of blood glucose molecules. Invasive blood glucose data was collected before and after meals from 15 participants for day 1 and day 2. Each reading averaged over 10–15 sensor measurements to ensure dependability. Predictive models such as random forest regression, support vector regression (SVR), and polynomial regression were used for validation. The root mean square error (RMSE) and mean average error (MAE) results reveal that the random forest obtained the best scores of 6.599 and 4.798 for the consolidated 60 values of the predicted glucose level. The suggested NIR-based system provides a non-invasive and real-time glucose monitoring option, and the results show its accuracy and viability. This method reduces invasive operations and can be integrated into wearable devices for continuous monitoring.",,979-8-3315-3633-6,10.1109/IEEECONF64992.2025.10963071,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10963071,Non-invasive glucose monitoring;Near-infrared (NIR) spectroscopy;Diabetes management;Real-time monitoring,Support vector machines;Spectroscopy;Accuracy;Real-time systems;Glucose;Diabetes;Wearable devices;Monitoring;Blood;Testing,,,,28,IEEE,16-Apr-25,,,IEEE,IEEE Conferences
Noninvasive Blood Glucose Monitoring Using Spatiotemporal ECG and PPG Feature Fusion and Weight-Based Choquet Integral Multimodel Approach,J. Li; J. Ma; O. M. Omisore; Y. Liu; H. Tang; P. Ao; Y. Yan; L. Wang; Z. Nie,"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Testing and Technology Center for Industrial Products of Shenzhen Customs, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China",IEEE Transactions on Neural Networks and Learning Systems,7-Oct-24,2024,35,10,14491,14505,"change of blood glucose (BG) level stimulates the autonomic nervous system leading to variation in both human’s electrocardiogram (ECG) and photoplethysmogram (PPG). In this article, we aimed to construct a novel multimodal framework based on ECG and PPG signal fusion to establish a universal BG monitoring model. This is proposed as a spatiotemporal decision fusion strategy that uses weight-based Choquet integral for BG monitoring. Specifically, the multimodal framework performs three-level fusion. First, ECG and PPG signals are collected and coupled into different pools. Second, the temporal statistical features and spatial morphological features in the ECG and PPG signals are extracted through numerical analysis and residual networks, respectively. Furthermore, the suitable temporal statistical features are determined with three feature selection techniques, and the spatial morphological features are compressed by deep neural networks (DNNs). Lastly, weight-based Choquet integral multimodel fusion is integrated for coupling different BG monitoring algorithms based on the temporal statistical features and spatial morphological features. To verify the feasibility of the model, a total of 103 days of ECG and PPG signals encompassing 21 participants were collected in this article. The BG levels of participants ranged between 2.2 and 21.8 mmol/L. The results obtained show that the proposed model has excellent BG monitoring performance with a root-mean-square error (RMSE) of 1.49 mmol/L, mean absolute relative difference (MARD) of 13.42%, and Zone A + B of 99.49% in tenfold cross-validation. Therefore, we conclude that the proposed fusion approach for BG monitoring has potentials in practical applications of diabetes management.",2162-2388,,10.1109/TNNLS.2023.3279383,National Key Research and Development Program of China(grant numbers:2022YFB3203702); National Natural Science Foundation of China(grant numbers:62173318); Science and Technology Service Network Initiative (STS)-Huangpu Project(grant numbers:STS-HP-202203); CAS Key Laboratory of Health Informatics; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10146523,Electrocardiogram (ECG);feature fusion;multimodal fusion;noninvasive blood glucose (BG) monitoring;photoplethysmogram (PPG),Monitoring;Feature extraction;Electrocardiography;Diabetes;Spatiotemporal phenomena;Glucose;Spectroscopy,"Humans;Electrocardiography;Neural Networks, Computer;Blood Glucose;Photoplethysmography;Algorithms;Signal Processing, Computer-Assisted;Male;Adult;Female;Blood Glucose Self-Monitoring;Middle Aged",15,,58,IEEE,8-Jun-23,,,IEEE,IEEE Journals
Multi-models with averaging in feature domain for non-invasive blood glucose estimation,Y. Wei; B. W. -K. Ling; Q. Liu; J. Liu,"Faculty of Information Engineering, Guangdong University of technology, Guangzhou, China; Faculty of Information Engineering, Guangdong University of technology, Guangzhou, China; Faculty of Information Engineering, Guangdong University of technology, Guangzhou, China; Faculty of Information Engineering, Guangdong University of technology, Guangzhou, China",2022 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA),12-Dec-22,2022,,,1,6,"Diabetes is a serious chronic metabolic disease. In the recent years, more and more studies focus on the use of the non-invasive methods to achieve the blood glucose estimation. More and more consumer technology enterprises focusing on human health are committed to implementing accurate and non-invasive blood glucose algorithm in their products. The near infrared spectroscopy built in the wearable devices is one of the common approaches to achieve the non-invasive blood glucose estimation. However, due to the interference from the external environment, these wearable non-invasive methods yield the low estimation accuracy. Even if it is not medical equipment, as a consumer product, the detection accuracy will also be an important indicator for consumers. To address this issue, this paper employs different models based on different ranges of the blood glucose values for performing the blood glucose estimation. First the photoplethysmograms (PPGs) are acquired and they are denoised via the bit plane singular spectrum analysis (SSA) method. Second, the features are extracted. For the data in the training set, first the features are averaged across the measurements in the feature domain via the optimization approach. Second, the random forest is employed to sort the importance of each feature. Third, the training set is divided into three subsets according to the reference blood glucose values. Fourth, the feature vectors and the corresponding blood glucose values in the same group are employed to build an individual model. Fifth, for each feature, the average of the feature values for all the measurements in the same subset is computed. For the data in the test set, first, the sum of the weighted distances between the test feature values and the average values obtained in the above is computed for each model. Here, the weights are defined based on the importance sorted by the random forest obtained in the above. The model corresponding to the smallest sum is assigned. Finally, the blood glucose value is estimated based on the corresponding model. Compared to the state of arts methods, our proposed method can effectively improve the estimation accuracy. In particular, the mean absolute relative difference (MARD) and the percentage of the data fall in the zone A of the Clarke error grid yielded by our proposed method reaches 12.19%, and 87.0588%, respectively.",2831-3410,979-8-3503-3248-3,10.1109/ISPCE-ASIA57917.2022.9971019,"National Nature Science Foundation of China(grant numbers:U1701266,61671163,62071128,61901123); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9971019,non-invasive blood glucose estimation;averaging in the feature domain;multi-models;random forest,Training;Computational modeling;Estimation;Feature extraction;Data models;Glucose;Numerical models,,3,,14,IEEE,12-Dec-22,,,IEEE,IEEE Conferences
LRCN-based Noninvasive Blood Glucose Level Estimation,C. -Y. Liao; W. -C. Fang,"Institute of Electronics, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Institute of Electronics, National Yang Ming Chiao Tung University, Hsinchu, Taiwan",2023 IEEE International Symposium on Circuits and Systems (ISCAS),21-Jul-23,2023,,,1,5,"Obtaining accurate assessments of blood glucose level (BGL) by any means that can be recorded easily in real-time has been a trending research focus area in recent years. Indeed, BGL indicators can help identify health risks associated with diabetes mellitus or provide efficient assistance and monitoring to patients diagnosed with diabetic conditions. However, the conventional methods of measuring blood glucose level require an invasive blood sampling technique to analyze the proportion of glucose in blood components. This method causes discomfort and relatively bulky equipment to remain available as portable systems. In this work, we proposed a system that uses long-term recurrent convolutional networks (LRCN) using non-invasive biomedical signal recording to estimate the blood glucose level. The proposed LRCN is combined with a robust feature extraction mechanism and can benefit from the temporal sensitivity of long short-term memory, to find a mathematical relationship between a photoplethysmogram (PPG) and blood glucose levels. The proposed system achieved 4.7 and 11.146 as mean absolute error (MAE) and root mean squared error (RMSE), respectively, on the predicted BGL values in comparison with standard BGL invasive blood sample recordings device values.",2158-1525,978-1-6654-5109-3,10.1109/ISCAS46773.2023.10182141,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10182141,,Feature extraction;Real-time systems;Glucose;Recording;Diabetes;Biosensors;Convolutional neural networks,,4,,11,IEEE,21-Jul-23,,,IEEE,IEEE Conferences
Diabetes Care in Motion: Blood Glucose Estimation Using Wearable Devices,C. -W. Tsai; C. -H. Li; R. W. -K. Lam; C. -K. Li; S. Ho,"Shu Tang Information Technology (Shenzhen) Co., Ltd.; Add Care, Ltd.; Shu Tang Information Technology (Shenzhen) Co., Ltd.; Add Care, Ltd.; Shu Tang Information Technology (Shenzhen) Co., Ltd.",IEEE Consumer Electronics Magazine,4-Dec-19,2020,9,1,30,34,"Diabetics should monitor their blood glucose daily to prevent severe acute complications. However, the pain sensation due to finger pricking is not only an inconvenience to patients, but can also reduce compliance with diabetes management. A reliable, mobile, easy-to-use, and noninvasive glucometer can address this problem. Noninvasive optical signals, such as those used to obtain a photoplethysmogram (PPG), have recently been used to measure human physiological and vascular conditions and have been adopted to estimate glucose. In this study, we conducted a clinical trial to acquire the PPG signals using wearable devices from nine type 2 diabetic patients. The global and personalized models were built using random forest and adaboost regression models. The accuracy of the models was determined by the tenfold cross validation and leave-one-out validation approaches. The results show that it is feasible to attain 90% accurate glucose predictions. Therefore, diabetic patients can use a wearable noninvasive glucometer utilizing the PPG signals.",2162-2256,,10.1109/MCE.2019.2941461,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8922845,,Diabetes;Data models;Sugar;Biomedical monitoring;Wearable computing;Blood;Glucose,,16,,13,IEEE,4-Dec-19,,,IEEE,IEEE Magazines
Multiple Regression Analysis Based Non-Invasive Blood Glucose Level Estimation Using Photoplethysmography,S. K. Singha; M. Ahmad; M. R. Islam,"Dept. of Biomedical Engineering, Khulna University of Engineering & Technology, Khulna, Bangladesh; Dept. of Electrical and Electronic Engineering, Khulna University of Engineering & Technology, Khulna, Bangladesh; Dept. of Electrical and Electronic Engineering, Bangladesh Army University of Engineering & Technology, Natore, Bangladesh","2021 International Conference on Automation, Control and Mechatronics for Industry 4.0 (ACMI)",8-Sep-21,2021,,,1,5,"This paper presents a non-invasive technique for blood glucose level estimation based on multiple regression analysis that uses the photoplethysmography (PPG) signal. Firstly, a digital bandpass filter is designed to remove the noise from the raw signal. Afterward, various parameters of the filtered signal are analyzed and the correlation between the parameters and blood glucose level is determined. Then, using multiple regression, a model has been established to estimate the blood glucose level. Finally, the predicted value obtained using multiple regression analysis was compared to the actual blood glucose value obtained from the invasive technique and to the predicted value obtained using simple linear regression analysis. It was found that percentage deviation lies within 8% in a multiple regression based model that ensures the model’s accuracy and for every subject, the percentage deviation in this model is less than the percentage deviation obtained in the single parameter-based model. As this research work uses a PPG signal that is comfortable to use and the accuracy of the multiple parameter based model is higher than the single parameter based model, it will be very effective to estimate blood glucose level easily and accurately.",,978-1-6654-3843-8,10.1109/ACMI53878.2021.9528219,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9528219,Blood glucose measurement;photoplethysmography;digital bandpass filter;feature extraction;multiple regression;percentage deviation,Band-pass filters;Mechatronics;Correlation;Pain;Linear regression;Fingers;Estimation,,4,,16,IEEE,8-Sep-21,,,IEEE,IEEE Conferences
A Non-Invasive Blood Glucose Detection System Based on Photoplethysmogram With Multiple Near-Infrared Sensors,K. Du; J. Li; Z. Huang; H. Song; Y. Zhang; Y. Zhang; Z. Mei,"College of Electronic and Information Engineering, Southwest University, Chongqing, China; Pharmacological Research Lab, The Ninth People's Hospital of Chongqing, Chongqing, China; School of Computing, University of Otago, Dunedin, New Zealand; Department of Information Systems, University of Maryland, Baltimore County (UMBC), Baltimore, MD, USA; Department of Electronic Engineering, The Chinese University of Hong Kong, SAR, Hong Kong, China; College of Electronic and Information Engineering, Southwest University, Chongqing, China; College of Chemistry and Chemical Engineering, Southwest University, Chongqing, China",IEEE Journal of Biomedical and Health Informatics,4-Apr-25,2025,29,4,2496,2505,"Recent advancements in non-invasive blood glucose detection have seen progress in both photoplethysmogram and multiple near-infrared methods. While the former shows better predictability of baseline glucose levels, it lacks sensitivity to daily fluctuations. Near-infrared methods respond well to short-term changes but face challenges due to individual and environmental factors. To address this, we developed a novel fingertip blood glucose detection system combining both methods. Using multiple light sensors and a lightweight deep learning model, our system achieved promising results in oral glucose tolerance tests. A total of 10 participants were involved in the study, each providing approximately 700 data segments of about 10 seconds each. With a root mean squared error of 0.242 mmol/L and 100% accuracy in zone A of the Parkes error grid, our approach demonstrates the potential of multiple near-infrared sensors for non-invasive glucose detection.",2168-2208,,10.1109/JBHI.2024.3443317,National Natural Science Foundation of China(grant numbers:62172340); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10636250,Blood glucose detection system;deep learning model;multiple near-infrared sensors;photoplethysmogram,Glucose;Blood;Accuracy;Optical sensors;Light sources;Sensitivity;Predictive models,"Humans;Photoplethysmography;Blood Glucose;Male;Adult;Signal Processing, Computer-Assisted;Female;Spectroscopy, Near-Infrared;Deep Learning;Young Adult;Glucose Tolerance Test",,,27,IEEE,14-Aug-24,,,IEEE,IEEE Journals
Non-invasive blood glucose estimation using Near-Infrared spectroscopy based on SVR,Y. Zhang; Z. Wang,"Laboratory of Embedded Systems and Technology, Tsinghua University, Shenzhen, China; Laboratory of Embedded Systems and Technology, Tsinghua University, Shenzhen, China",2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference (ITOEC),30-Nov-17,2017,,,594,598,"There is a nonlinear relation between the blood glucose and photoplethysmography(PPG) signal. In order to estimate the blood glucose from the photoplethysmography signal, this paper presents a non-invasive blood glucose estimation using Near-Infrared spectroscopy based on the Support Vector Regression(SVR). The wavelet transform algorithm is used to remove baseline drift and smooth signals. 22 parameters, including features obtained from PPG signal and some physiological and environmental parameters, are the input parameters of Support Vector Regression model. The comparison between estimated and reference values shows better accuracy than the multiple linear regression analysis method, partial least squares method.",,978-1-5090-5363-6,10.1109/ITOEC.2017.8122366,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8122366,Blood Glucose Estimation;PPG;SVR;Feature extraction;NIR,Blood;Sugar;Diabetes;Feature extraction;Support vector machines;Estimation;Training,,7,1,12,IEEE,30-Nov-17,,,IEEE,IEEE Conferences
Photoplethysmography Based Blood Glucose Estimation Using Convolutional Neural Networks,S. Alghlayini; A. Hosni; M. Atef,"Department of Electrical and Communication Engineering, Collage of Engineering, United Arab Emirates University, Al Ain, United Arab Emirates; College of Information Technology, United Arab Emirates University, Al Ain, United Arab Emirates; Department of Electrical and Communication Engineering, Collage of Engineering, United Arab Emirates University, Al Ain, United Arab Emirates",2023 Advances in Science and Engineering Technology International Conferences (ASET),20-Jul-23,2023,,,1,5,"This paper introduces the design and measurements for non-invasive blood glucose level (BGL) estimation using a convolutional neural network (CNN) based on photoplethysmography (PPG). The prototype consists of a PPG sensor connected to a microcontroller (MCU) Arduino Nano 33 BLE Sense. The PPG-only based CNN model deployed on the MCU showed 89.28% of the predicted samples in zone A of a Clarke error grid (CEG). When the mean power spectrum feature from PPG signals was included, the results demonstrated an improvement in the accuracy to be 92.85%. The proposed system is real-time and non-invasive that can be used to replace the existing invasive glucometers.",2831-6878,978-1-6654-5474-2,10.1109/ASET56582.2023.10180655,"United Arab Emirates University, Arab Emirates,(grant numbers:G00003441); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10180655,Blood Glucose Level (BGL);Photoplethysmography (PPG);Wearable Device;Machine Learning;Deep Learning;Convolutional Neural Network (CNN);Microcontroller (MCU),Neural networks;Estimation;Prototypes;Predictive models;Photoplethysmography;Real-time systems;Glucose,,4,,12,IEEE,20-Jul-23,,,IEEE,IEEE Conferences
